id,name,size,email,phone,website,address,city,rating,reviews,source,last_updated
ChIJu6CS3aX_sUARxZFg5GU1X_A,S&S AUTO SERVICE,medium,,0722 270 231,https://service-auto-ss.ro/,"Corp C4A, Str. Sergent Nuțu Ion 8-10, 010011 București, România",010011 București,4.8,81,google_places,2026-02-11T10:49:29Z
ChIJV7LSCAD_sUAR4y577JavYo8,"Vulcanizare, Service Andu & Baterii Auto la domiciliu",small,,0722 521 313,,"Șoseaua Giurgiului 36, 040651 București, România",040651 București,5,40,google_places,2026-02-11T10:49:30Z
ChIJ72Z_06UFskARaqih5xHnbvI,Status Service Auto,medium,intl-segmenter@11.7.10,0758 884 885,https://www.status-service.ro/,"Șoseaua București - Târgoviște 93 Parter, 003467 București, România",003467 București,4.5,158,google_places,2026-02-11T10:49:30Z
ChIJ_1KiQLb_sUARq0GQpD4NUnk,Auto Total,medium,logo@2x.png,0721 252 378,https://www.autototalbest.ro/,"Prelungirea Ferentari 33, 052034 București, România",052034 București,4.6,155,google_places,2026-02-11T10:49:32Z
ChIJERcVqDoCskARo61jGzblrFQ,ITP Auto Top Service,large,,0749 334 050,http://www.esapamenteauto.ro/,"Strada Aviator Popișteanu 24, 012094 București, România",012094 București,4.8,532,google_places,2026-02-11T10:49:37Z
ChIJYXfZBxf_sUAR3eXsahI3wN4,Auto 35,large,,0752 353 535,https://auto35.ro/,"Strada Berzei 79, 010253 București, România",010253 București,4.9,306,google_places,2026-02-11T10:49:39Z
ChIJjWQAWjsDskAR9khnWxbDoag,Asist Pro Mobile,medium,,0740 111 828,http://www.asistpro.ro/,"Strada Luduș nr 25, 014607 București, România",014607 București,4.9,117,google_places,2026-02-11T10:49:55Z
ChIJbeF7ZCMDskARA9e3oJEhzcs,"MAR-COM AUTO TOTAL Service Reparatii Daune RCA Sector 1. Vopsitorie, Tinichigerie Auto Soseaua Chitilei, Bucurestii Noi",small,,0762 294 966,,"Șoseaua Chitilei 86, 012395 București, România",012395 București,4.8,37,google_places,2026-02-11T10:49:56Z
ChIJWYMCSSUCskAR6EGBacV7tHk,Auto Garage,large,,031 437 0802,http://www.auto-garage.ro/contact.php,"Strada Aviator Popișteanu 8, 012092 București, România",012092 București,4.1,271,google_places,2026-02-11T10:49:57Z
ChIJd7jAMpYDskARNw4SG4MfLiU,AD Garage Valeo Import-Export Srl,large,,0721 676 835,,"Bulevardul Bucureștii Noi nr. 146-148, 032451 București, România",032451 București,4,314,google_places,2026-02-11T10:49:57Z
ChIJxUw__CICskARpAqK9AUpPog,Reparatii electromotoare/alternatoare,medium,,0726 284 451,,"Bulevardul Ion Mihalache 207, 011174 București, România",011174 București,3.8,98,google_places,2026-02-11T10:49:58Z
ChIJXfCqIgABskARa4-pb4MIJK4,Service Auto,unknown,,,,"Bucureşti Sectorul 1, București, România",București,,,google_places,2026-02-11T10:49:58Z
ChIJJ3pRoeUCskARAbJ0KUX5NpU,Nord Garage,large,office@nordgarage.ro,0765 504 778,https://www.nordgarage.ro/,"Calea Bucureștilor 1, 075100 Otopeni, România",075100 Otopeni,4.5,247,google_places,2026-02-11T10:49:59Z
ChIJFeG_WjYCskARIqeNNJjCewI,Service auto Mercedes-Benz Bucuresti I Tiriac Auto,small,,0374 141 414,https://www.tiriacauto.ro/service/service-tiriac-auto-mercedes-expozitiei/67,"Bulevardul Expoziției 2, cladirea C7, 012103 București, România",012103 București,3.3,30,google_places,2026-02-11T10:50:00Z
ChIJWyIArR_9sUARFaj9hps_UAY,Auto Hit Service,large,,0734 266 001,https://autohitservice.ro/,"Strada Burniței 36-44, 032342 București, România",032342 București,4.5,306,google_places,2026-02-11T10:50:02Z
ChIJUVObKQADskARsZUUlKS1k3w,Vulcanizare Auto,small,,,,"București, România",București,5,2,google_places,2026-02-11T10:50:03Z
ChIJg0M2OTwArkARNcPrmvTj95U,Performance Service Auto,medium,,0733 333 344,http://www.performanceservice.ro/,"Șoseaua București-Măgurele 155, 077025 București, România",077025 București,4.5,78,google_places,2026-02-11T10:50:10Z
ChIJZRxuXxsMSUcRdsdwVgyeQB0,Autofix Service srl,medium,,0722 214 506,http://www.autofix.ro/,"Strada Maica Domnului 53, 023725 București, România",023725 București,4.6,100,google_places,2026-02-11T10:50:13Z
ChIJC447heP4sUAR5PWlqcIuJ1k,Timas,large,office@timas.ro,021 240 7021,http://www.timas.ro/service-auto-bucuresti-fundeni.html,"Șoseaua Fundeni 129, 022326 București, România",022326 București,4.4,386,google_places,2026-02-11T10:50:15Z
ChIJFXi-Syj_sUAR8Vtxfh5Xl_A,Auto Service Internationale S.R.L.,medium,autointernationale@gmail.com,0722 889 688,http://www.autointernationale.ro/,"Strada Teleajen 53, 021466 București, România",021466 București,4.6,137,google_places,2026-02-11T10:50:18Z
ChIJMevnzzL_sUARhtM7dmRaDF4,Service Auto TT,medium,,0764 570 949,http://autott.ro/,"Strada Călușei 35, 030167 București, România",030167 București,4.9,70,google_places,2026-02-11T10:50:19Z
ChIJeQLg7O4BskARkhKyrgEBPFw,Mecanero Ges Service,large,office@mecanero.ro,0722 222 849,http://www.mecanero.ro/,"Strada Părintele Galeriu 12-14, 020761 București, România",020761 București,4.6,349,google_places,2026-02-11T10:50:23Z
ChIJUR1DN6r_sUARtd9_HpwarDw,Est Garage - Service Auto,medium,estgaragebucuresti@gmail.com,0767 663 774,https://www.estgarage.ro/,"Strada Peisajului 31, 022895 București, România",022895 București,3.6,79,google_places,2026-02-11T10:50:25Z
ChIJ2yZtWb34sUARJ21q0w_Lohg,ITP Blitz Auto Service,large,,0740 407 670,,"Strada Maica Domnului 5, 021192 București, România",021192 București,4.7,231,google_places,2026-02-11T10:50:25Z
ChIJjxtYZlv5sUAR9R-h15rNO7s,Service auto Totidai - sector 2,medium,contact@exemplu.ro,0775 668 217,http://www.totidai-service.com/,"Strada Baia de Aramă 1, 022204 București, România",022204 București,4.7,54,google_places,2026-02-11T10:50:28Z
ChIJ-TToR635sUARZPXbnBPydg8,PREMIUM SERVICE MOSILOR,medium,alexandru.croitoru@premiumservice.ro,0724 931 931,https://efup9v.webwave.dev/,"Strada Ardeleni 8, 020309 București, România",020309 București,4.8,53,google_places,2026-02-11T10:50:30Z
ChIJl2jtgUb_sUARSN40wIjBGtM,General Services Company 97 SRL,medium,office@gsc-auto.ro,0799 777 357,https://www.gsc-auto.ro/,"Aleea Magura Vulturului, Strada Ritmului 8, 021675 București, România",021675 București,4.8,74,google_places,2026-02-11T10:50:32Z
ChIJxdqDGtr4sUARnn82aN_PfEA,Dom Auto,medium,office@domauto.ro,021 252 1991,http://www.domauto.ro/,"Șoseaua Electronicii 21-23, 023252 București, România",023252 București,4.2,100,google_places,2026-02-11T10:50:34Z
ChIJ_Xss8Nv4sUARI9NujIL9KaU,Service auto Baicului,medium,,0740 706 866,https://www.facebook.com/Baiculuiservice/,"Str.Slujeru, Strada Dumitru Slugeru 4, 042095 București, România",042095 București,3.2,82,google_places,2026-02-11T10:50:34Z
ChIJh8nDxBr5sUARVtPsRgtn3Dg,Incarcare Freon Auto la locatia masinii,medium,,0752 811 061,https://www.facebook.com/ServiciiAC/,"Strada Magnoliei 101, 700000 București, România",700000 București,4.9,132,google_places,2026-02-11T10:50:35Z
ChIJs8itxwH5sUARIn7vkB8t8cM,Vulcanizare Auto Pantelimon Indreptat Jante Sector 2,medium,,0771 250 364,,"Șos. Pantelimon 219, 021599 București, România",021599 București,4.6,116,google_places,2026-02-11T10:50:35Z
ChIJg_tbMrX4sUAR6grAsa5eeXo,Top Service GPL,large,,0744 131 408,http://www.topservicegpl.ro/,"Strada Vasile Lascăr 167, 010713 București, România",010713 București,4.7,274,google_places,2026-02-11T10:50:52Z
ChIJt9z4tWr_sUARUJDOvTQY38I,Diagnoza auto,medium,,0771 591 548,https://diagnoza-auto-rapida.ro/,"Intrarea Bârsei, 030475 București, România",030475 București,4.9,143,google_places,2026-02-11T10:50:55Z
ChIJu1eCmE7_sUAR_wp3AgBw2Sk,SERVICE PREMIUM,medium,office@servicepremium.ro,0724 545 059,http://www.servicepremium.ro/,"Bulevardul 1 Decembrie 1918 1M, 032451 București, România",032451 București,4.9,93,google_places,2026-02-11T10:50:58Z
ChIJtyg2mf77sUAR7048dOAOMro,Auto Service JON,large,,0744 214 660,,"Strada Grindeiului 5, București, România",București,4.8,264,google_places,2026-02-11T10:50:58Z
ChIJE1DAiZH-sUARuktw7EgT_KI,Service Auto - Sim Auto Garage,medium,20contact@simautogarage.ro,0746 990 196,https://www.simautogarage.ro/,"Bulevardul Basarabia 256, 030352 București, România",030352 București,4.9,149,google_places,2026-02-11T10:51:01Z
ChIJae4yAYD_sUARxUOi4Px0gp0,Best Car Service Auto Sector 3,large,,0722 200 528,http://www.servicevitan.ro/,"Intrarea Borceag 11, 031505 București, România",031505 București,4.4,263,google_places,2026-02-11T10:51:17Z
ChIJe3_6Aez-sUARK6QqeY4KBJs,DAS PRO EXPERT AUTO SRL,large,,0770 425 508,http://www.daspro.ro/,"Aleea Marius Emanoil Buteică 13, 031822 București, România",031822 București,4.7,211,google_places,2026-02-11T10:51:33Z
ChIJl55smyv_sUARIh9URhE6atI,Auto Soft Titan,large,popescuion@domeniu.com.,0747 057 842,https://www.auto-soft.ro/,"Bulevardul 1 Decembrie 1918 33A, 032455 București, România",032455 București,4.5,2308,google_places,2026-02-11T10:51:34Z
ChIJZaTMCBj8sUARut-kUKn7uRc,"Adely Service Auto Sector 3, Vopsitorie Auto Sector 3, Tinichigerie, Încărcare Freon Auto",medium,,0752 240 700,http://www.adely.ro/,"Bulevardul Theodor Pallady 287, București, România",București,4.4,160,google_places,2026-02-11T10:51:37Z
ChIJbemG6Lz7sUARidNvmJqpY-8,Backdoor Garage,medium,backdoorgarage1@gmail.com,0768 784 534,http://www.backdoor-garage.ro/,"Bulevardul Basarabia 250, 060664 București, România",060664 București,4.9,133,google_places,2026-02-11T10:51:41Z
ChIJv_tBGRP_sUARduyrGR2Esog,Fan Auto Line,large,fanautoline@yahoo.com,0759 179 120,http://fanautoline.ro/,"Strada Postăvarului 78, 032426 București, România",032426 București,4.8,418,google_places,2026-02-11T10:51:46Z
ChIJF_iqfu3-sUAR0-Xzduxwtiw,Van International & Co,medium,office@serviceautomobile.ro,0722 398 750,http://www.serviceautomobile.ro/,"Strada Lugojana 4D, 031854 București, România",031854 București,4.9,109,google_places,2026-02-11T10:51:50Z
ChIJBe-D_NL9sUARbF54YdI5Q78,Perfect Luk Auto Service,small,daune@perfectlukservice.ro,0722 438 457,https://www.perfectlukservice.ro/,"Nr. 47 G, Drumul Între Tarlale, 032982 București, România",032982 București,5,27,google_places,2026-02-11T10:51:52Z
ChIJAfqUUGz9sUARzTf0nZSK3rU,Concept Drive Service Auto SRL,small,,0765 514 282,https://conceptdriveservice.ro/,"Strada Burniței 30, 032342 București, România",032342 București,4.9,35,google_places,2026-02-11T10:52:07Z
ChIJm243CrT-sUARs7njnzcLfmE,diagnozauto,medium,,0740 269 641,http://www.diagnozauto.ro/,"Aleea Barajul Sadului 9, 032742 București, România",032742 București,4.8,147,google_places,2026-02-11T10:52:11Z
ChIJITPsz1v5sUARYM5KU1_H6qc,Bosch Car Service - Auto Leader Expim,large,,0377 104 022,https://autoleader.ro/,"Șoseaua Gării Cățelu 180-190, 032995 București, România",032995 București,4.3,354,google_places,2026-02-11T10:52:14Z
ChIJrz0taxj8sUARQ5gpDnDGI9w,Autoklasen Centru Daune,large,office@autoklasen.ro,031 005 9059,https://autoklasen.ro/,"Bulevardul Theodor Pallady 287, 032267 București, România",032267 București,4.8,1098,google_places,2026-02-11T10:52:15Z
ChIJ22YC-2f9sUAR3-l1FgxgLBo,Auto Service IOR srl,medium,office@autoserviceior.ro,0722 606 159,https://www.autoserviceior.ro/,"Incinta IOR 2, Auto Service IOR srl, Bulevardul Theodor Pallady 287, 032258 București, România",032258 București,4.6,180,google_places,2026-02-11T10:52:16Z
ChIJK5vwlwv-sUARYlYYwVAU_VA,Adexpert ITP & Service Auto Berceni,large,adexpert.autocom@gmail.com,0723 723 529,http://www.adexpertauto.ro/,"Strada Vârciorova 5- 9, 077160 București, România",077160 București,4.7,486,google_places,2026-02-11T10:52:22Z
ChIJ73CvzxYDrkARR_nHK7diwao,Nafi Motors Vulcan - Constatare Daune Sector 4,large,,021 9829,https://constatare-daune-bucuresti.ro/,"Drumul Dealu Bradului 157, 042158 București, România",042158 București,4.9,310,google_places,2026-02-11T10:52:22Z
ChIJse7jG2j-sUAROjMg_mMPwTQ,Sim Auto,large,contact@simauto.ro,0721 264 167,https://simauto.ro/,"Șoseaua Olteniței nr. 103, 041303 București, România",041303 București,4.9,341,google_places,2026-02-11T10:52:23Z
ChIJZQEH7RX_sUARUkUYXE7ZHlI,Service auto,small,,0734 607 228,,"Strada Râul Mara 7, 077120 București, România",077120 București,4.5,34,google_places,2026-02-11T10:52:24Z
ChIJAQE38gv-sUARKNupcsxkG7s,"Autotehnic Service Auto & iTP Berceni, Sector 4. Service Daune, Vopsitorie, Tinichigerie Auto Sector 4",large,,0721 667 950,,"Drumul Jilavei 12, 042162 București, România",042162 București,4.3,436,google_places,2026-02-11T10:52:24Z
ChIJH8Kd0Cf-sUARbnrxNM1D7GM,Incarcare Freon Auto - MaxAlarm Sector 4,large,,0766 597 505,https://www.incarcarefreonauto.ro/,"Șoseaua Giurgiului 269A, 040666 București, România",040666 București,4.9,390,google_places,2026-02-11T10:52:40Z
ChIJ65e98Kr_sUAROYarpVRR0ms,AD PREMIUM SERVICE / ITP,large,,0711 050 741,,"Strada Petrolului 3, 040829 București, România",040829 București,4.9,276,google_places,2026-02-11T10:52:41Z
ChIJURgMhA_-sUARdeHspyyVCwo,Service Auto BestProCars,medium,,0723 248 549,http://www.bestprocars.ro/,"Intrarea Binelui 1a, 042159 București, România",042159 București,4.4,155,google_places,2026-02-11T10:52:57Z
ChIJQxD7EC_-sUARokb4WMsFgJs,Goauto Smart,medium,,0766 537 255,https://www.listafirme.ro/goauto-smart-srl-36734954/,"Drumul Jilavei 14, 042161 București, România",042161 București,4.9,99,google_places,2026-02-11T10:52:59Z
ChIJXVeGhXT-sUARNjnylTR0kHk,Service Auto Viorel,large,,0744 516 594,https://www.listafirme.ro/service-auto-viorel-srl-31153020/,"Strada Căpitan Eremia Popescu 11, 077160 București, România",077160 București,4.3,447,google_places,2026-02-11T10:53:01Z
ChIJwT71_U_-sUARQc-chwG19Nw,LUNCLAS AUTO,large,oltenitei@lunclasauto.ro,0762 510 517,http://www.lunclasauto.ro/,"Șoseaua Olteniței 35-37, 041293 București, România",041293 București,4.5,274,google_places,2026-02-11T10:53:03Z
ChIJvSYCUz_-sUARjGlpdsBUPtA,Castrol Service Rixe Auto,large,service@rixe.ro,,http://www.rixe.ro/,"Strada Nițu Vasile 51C, 041542 București, România",041542 București,4.6,201,google_places,2026-02-11T10:53:05Z
ChIJfVVm6sb_sUARADDxdFi8R34,Auto Max AMG Services,medium,ioffice@automaxamg.ro,0739 420 667,http://automaxamg.ro/,"Bucureşti Sect 4 Str INTRAREA BINELUI. 1A, C3-hala, corp C3, 1, parter, 042159 București, România",042159 București,4.8,57,google_places,2026-02-11T10:53:08Z
ChIJcayMfyb-sUARZ84sTuPLTAY,YGR Total Service,medium,,0721 286 389,http://www.ygr.ro/,"Strada Odei 42, 077120 București, România",077120 București,4.8,172,google_places,2026-02-11T10:53:25Z
ChIJWe4rAXb-sUARsU94r15POLc,SC CARS INV SRL / CLAIM EXPERT,large,office@carsinv.ro,0737 520 213,http://www.carsinv.ro/,"Șoseaua Olteniței 227, 077160 București, România",077160 București,4.3,512,google_places,2026-02-11T10:53:26Z
ChIJ7ZnXUfv9sUAReegAeMFGZ-E,Auto Service Special(ITP),medium,,0723 454 662,,"Bulevardul Metalurgiei 474, București, România",București,3.9,111,google_places,2026-02-11T10:53:27Z
ChIJu3hgFwD_sUAR55MTSAByPM8,SERVICE CAB AUTO,small,wght@100..900,0768 702 070,https://www.cabauto.ro/,"Strada Sergent Tablan Dumitru 41, 052034 București, România",052034 București,4.9,18,google_places,2026-02-11T10:53:32Z
ChIJoVrfmPL_sUARwoGtCU0Nqjc,Service Auto,small,,,https://ghidautoservice.ro/product-tag/service-auto-sector-5/,"Șoseaua Viilor 57-55, 052034 București, România",052034 București,3.4,21,google_places,2026-02-11T10:53:33Z
ChIJXeFDNNT_sUARMYddueD59C4,Contact Auto Service,medium,office@contactautoservice.ro,0755 148 861,http://contactautoservice.ro/,"Strada Fabrica de Chibrituri 24-26, 040172 București, România",040172 București,4.4,108,google_places,2026-02-11T10:53:34Z
ChIJVWlP36P_sUARuOQjfhmrNWo,Gda top auto service,medium,,0722 943 720,,"Str. Doina 17, 052034 București, România",052034 București,4.5,114,google_places,2026-02-11T10:53:34Z
ChIJcaR-TpoRDGgRg_AveYSO4nc,Diagnoza auto la domiciliu,small,,0730 443 505,https://sites.google.com/view/diagnoza-auto-la-domiciliu,"Strada Verigei, 050321 București, România",050321 București,4.8,30,google_places,2026-02-11T10:53:35Z
ChIJpdjZXKT_sUARN_ozE939QuE,Vopsitorie Auto,medium,,0744 806 804,https://ro-ro.facebook.com/racomotor/,"Strada Veseliei 5A, 052034 București, România",052034 București,4.6,147,google_places,2026-02-11T10:53:36Z
ChIJCRsnzwv_sUAR4AodhywwtYM,Service Bit Auto,small,office@bitauto.ro,0767 625 663,http://www.bitauto.ro/,"Strada Fabrica de Chibrituri, București, România",București,4.6,17,google_places,2026-02-11T10:53:38Z
ChIJjV_gFlf_sUARqeVKKcdomhI,Electric Auto Custom,medium,,0721 750 450,http://www.electricautocustom.ro/,"Str. Spătarul Preda 7A, 052034 București, România",052034 București,4.6,196,google_places,2026-02-11T10:53:54Z
ChIJsQHK5aj4sUAR87Eyu9TQZV4,ABS Sistems,medium,,0766 341 000,http://www.abssistems.ro/,"Strada Năsăud 26, 052067 București, România",052067 București,4.5,179,google_places,2026-02-11T10:54:10Z
ChIJa7_M_6D_sUAR2zKoFaVuDDc,IACOB TOTAL SERVICE,small,,0771 632 337,https://iacobsdrive.ro/,"Str. Spatarul Preda 7b, Bucuresti-Sector 5, Bucuresti, 050185, 052034 București, România",052034 București,4.8,23,google_places,2026-02-11T10:54:11Z
ChIJ9f0Mtp__sUARMhL3_Hfigiw,New Car International,medium,contact@serviceautoitp.ro,0722 573 090,http://serviceautoitp.ro/,"25, Strada Zaharia Carcalechi Nr. 23, 052072 București, România",052072 București,4.2,166,google_places,2026-02-11T10:54:13Z
ChIJeZNmhgv_sUARDx31bNBiH_4,BVL MASTER TUNING,medium,,0744 167 665,,"Sector 5, București, România",București,4.7,134,google_places,2026-02-11T10:54:14Z
ChIJ3djwvVMBskAREptLLQncHqY,Service Auto Ghencea,large,,0755 049 999,http://www.serviceautoghencea.weebly.com/,"Str. Toamnei 49, 077025 Bragadiru, România",077025 Bragadiru,5,307,google_places,2026-02-11T10:54:15Z
ChIJpQUHuDb_sUARQEEw-sjUSaA,Auto Service,small,,0767 070 060,,"Șoseaua Sălaj 203, 051896 București, România",051896 București,3.7,12,google_places,2026-02-11T10:54:16Z
ChIJ87Evlbn_sUARoVOgU9G51ao,DiagnozaMB,medium,,0763 616 673,https://www.diagnozamb.ro/,"Șoseaua de Centură, nr. 69B Bis, 077160 Popești-Leordeni, România",077160 Popești-Leordeni,4.7,53,google_places,2026-02-11T10:54:16Z
ChIJJcZaepL_sUARL4b8f0heDNo,Nick service Auto srl,small,,021 420 2544,https://ghidautoservice.ro/service/nick-service-auto-srl-str-margeanului/,"Strada Mărgeanului 11-13, 052034 București, România",052034 București,4.2,34,google_places,2026-02-11T10:54:17Z
ChIJ33yTJqL_sUARkzUxwj0IVtQ,Mc Speed Auto - Service Auto Filaret | Diagnoza Auto Berceni | Service Auto Sos Salaj,small,,0722 829 233,,"incinta Comat Filaret, Doina 17, 052151 București, România",052151 București,3.8,4,google_places,2026-02-11T10:54:18Z
ChIJq0fg46YBskARLJom8P3_vP0,Shaken Auto | ITP Uverturii,large,office@itp-auto.ro,0771 519 376,https://www.itp-auto.ro/,"Bulevardul Uverturii 136, 060937 București, România",060937 București,4.9,1828,google_places,2026-02-11T10:54:21Z
ChIJK97k3uAAskARNmlD9iJrzQk,Perfect Service TCA,medium,office@perfectservicetca.ro,0722 216 677,http://www.perfectservicetca.ro/,"Str. Preciziei 32, București, România",București,4.5,114,google_places,2026-02-11T10:54:23Z
ChIJ-41qxMsBskAR_A8N-C_OcSk,Ad Garage Sky Auto Service,large,,0751 102 020,https://skyautoservice.ro/,"Strada Constantin Moise 5, 061344 București, România",061344 București,4.6,384,google_places,2026-02-11T10:54:24Z
ChIJM9zYJTUBskARUOV17Mg6E7Q,SPC AUTO SERVICE Castrol Service,large,,0733 120 121,https://www.spcautoservice.ro/,"Bulevardul Timișoara 30, 061344 București, România",061344 București,4.6,474,google_places,2026-02-11T10:54:24Z
ChIJR0zA5hcBskARS5Vh8az0j6E,Top Custom Garage Service Auto Militari sector 6,medium,,0731 000 731,https://www.serviceautomilitari.ro/,"23 Barsanesti street, 062182 București, România",062182 București,4.5,121,google_places,2026-02-11T10:54:40Z
ChIJvblE7c4BskARr4PBCjrO0jA,Top Lac Service,large,,0758 110 002,http://www.toplacservice.ro/,"Bulevardul Timișoara 8, 061344 București, România",061344 București,4.8,7901,google_places,2026-02-11T10:54:41Z
ChIJ87xkKEcAskAR9rF971SnqN8,Alarme Auto,large,,0767 577 993,http://www.alarme-auto.weebly.com/,"Aleea Băiuț 4, 061936 București, România",061936 București,5,1210,google_places,2026-02-11T10:54:43Z
ChIJaZoaMcoBskARieSkN0_-wMg,TBG Automotive Cars,large,,0726 130 301,,"Plaza romania, zona Lujerului, 061331 București, România",061331 București,4.7,485,google_places,2026-02-11T10:54:43Z
ChIJY8aNwdABskARMPxbB-e0Ado,Shaken Auto | ITP Virtutii,large,office@itp-sector6.ro,0731 926 524,http://www.itp-sector6.ro/,"Șoseaua Virtuții nr.17a, 077042 București, România",077042 București,4.8,1107,google_places,2026-02-11T10:54:46Z
ChIJpQquH84BskARqNFJJcen7Ao,Marvis Auto Concept,large,contact@turbineauto.ro,0723 980 884,http://www.turbineauto.ro/,"Bulevardul Timișoara 60-62, 061328 București, România",061328 București,4.6,723,google_places,2026-02-11T10:54:48Z
ChIJi-TejTwAskARKs66-Sg_COg,Car Clinic Service,large,,0770 476 209,,"Intrarea Dihorului 1, 061707 București, România",061707 București,4.5,461,google_places,2026-02-11T10:54:49Z
ChIJya_h0fEBskARD8ucfrulMG8,Turbocon Smart Repair Service,large,,0724 011 968,https://turbocon.ro/,"Strada General Petre Popovăț 37-39 6, 060314 București, România",060314 București,4.8,604,google_places,2026-02-11T10:55:04Z
ChIJrQosNv8BskARm44XqTh5WAs,Top Lac Service,large,,0745 200 084,http://www.toplacservice.ro/,"Bulevardul Timișoara Nr. 179, 061327 București, România",061327 București,4.9,7476,google_places,2026-02-11T10:55:06Z
ChIJOeISP94DskARnCy9uad8S0k,"Blue Car Service - Vopsitorie Auto | Tinichigerie Sector 6 | ITP Giulesti, Service Auto Giulesti",medium,bluecarservice@yahoo.com,0769 274 258,http://www.bluecarservice.ro/,"Drumul Săbăreni 28, 060646 București, România",060646 București,4.4,148,google_places,2026-02-11T10:55:09Z
ChIJByBW3q8BskARxcnV41N4UP4,RESPECT CAR - STATIE ITP - SERVICE AUTO,medium,,0724 770 070,,"Str. Valea Lungă 30, 077042 București, România",077042 București,4.7,116,google_places,2026-02-11T10:55:09Z
